"","Exchange Date","Close","Net","%Chg","Open","Low","High","Volume","Turnover - EUR","Flow"
"1",2023-02-01,4169.66,6.21000000000004,0.00149155147774082,4168.81,4159.01,4187.61,42469582,NA,420609460000
"2",2023-01-31,4163.45,4.81999999999971,0.00115903554776446,4155.31,4124.58,4166.17,431507100,7140630000,420609460000
"3",2023-01-30,4158.63,-19.3800000000001,-0.00463857195171867,4166.75,4122.21,4166.75,258516080,6053940000,413468830000
"4",2023-01-27,4178.01,4.03000000000065,0.000965505345018581,4177.26,4154.53,4188.71,277090760,6612110000,419522770000
"5",2023-01-26,4173.98,25.8699999999999,0.00623657521136129,4156.51,4156.51,4183.56,326506130,6582440000,412910660000
"6",2023-01-25,4148.11,-4.91000000000076,-0.00118227217783704,4153.63,4116.99,4158.77,260340810,5248330000,406328220000
"7",2023-01-24,4153.02,2.20000000000073,0.000530015755923101,4154.26,4132.24,4167.02,257225830,5425690000,411576550000
"8",2023-01-23,4150.82,30.9200000000001,0.00750503653001288,4121.97,4121.97,4157.13,277537240,4826690000,406150860000
"9",2023-01-20,4119.9,25.6199999999994,0.00625751047803263,4101.64,4100.17,4126.17,365940390,7204420000,401324170000
"10",2023-01-19,4094.28,-80.0599999999999,-0.0191790798066281,4156.1,4092.57,4158.57,357937750,7789780000,394119750000
"11",2023-01-18,4174.34,0.0100000000002183,2.39559402352432e-06,4171.03,4171.03,4197.47,290285500,6654020000,401909530000
"12",2023-01-17,4174.33,17.3299999999999,0.00416887178253546,4153.93,4142.29,4193.3,311478440,6652930000,395255510000
"13",2023-01-16,4157,6.19999999999982,0.00149368796376598,4155.74,4145.27,4162.51,209707890,4435360000,388602580000
"14",2023-01-13,4150.8,24.1199999999999,0.00584489226206052,4129.11,4129.11,4160.97,312801950,7035010000,384167220000
"15",2023-01-12,4126.68,26.9200000000001,0.00656623802368921,4104.14,4104.14,4144.37,324379250,7433390000,377132210000
"16",2023-01-11,4099.76,42.3000000000002,0.0104252414071858,4062.38,4062.38,4107.81,306556930,7372110000,369698820000
"17",2023-01-10,4057.46,-11.1599999999999,-0.00274294478226029,4052.62,4042.42,4063.29,266519990,5875710000,362326710000
"18",2023-01-09,4068.62,50.79,0.0126411520646717,4027.51,4025.16,4080.55,327352450,7426800000,368202420000
"19",2023-01-06,4017.83,58.3499999999999,0.0147367836180508,3959.96,3951.93,4017.85,282317770,5767840000,360775620000
"20",2023-01-05,3959.48,-14.4899999999998,-0.00364622782758797,3967.01,3950.42,3974.61,269265310,5843460000,355007780000
"21",2023-01-04,3973.97,91.6799999999998,0.0236149283026255,3891.04,3891.04,3975.5,399072520,7992070000,360851240000
"22",2023-01-03,3882.29,26.1999999999998,0.00679444722503879,3852.07,3852.07,3921.37,331587930,5995360000,352859170000
"23",2023-01-02,3856.09,62.4700000000003,0.0164671211138702,3802.51,3802.51,3860.74,190418060,3626280000,346863810000
"24",2022-12-30,3793.62,-56.4500000000003,-0.0146620710792272,3845.92,3792.09,3845.92,163627020,3345820000,343237530000
"25",2022-12-29,3850.07,41.25,0.0108301258657537,3803.24,3793.25,3851.39,175793230,3331900000,346583350000
"26",2022-12-28,3808.82,-24.0699999999997,-0.00627985671386335,3833.45,3805.94,3842.22,138480670,3080380000,343251450000
"27",2022-12-27,3832.89,15.8799999999997,0.00416032444242998,3826.99,3826.99,3854.61,127680870,2660170000,346331830000
"28",2022-12-23,3817.01,-6.27999999999975,-0.0016425643882624,3823.7,3798.74,3833.61,148246030,3147760000,343671660000
"29",2022-12-22,3823.29,-48.8600000000001,-0.0126183128236252,3870.98,3817.49,3889.7,202239420,4543220000,346819420000
"30",2022-12-21,3872.15,69.6600000000003,0.0183195748049305,3810.87,3810.87,3874.36,250918220,5218030000,351362640000
"31",2022-12-20,3802.49,-8.75,-0.00229584072375395,3790.58,3767.26,3816.9,280952960,5263860000,346144610000
"32",2022-12-19,3811.24,7.2199999999998,0.00189799212412127,3808.53,3808.53,3835.63,225378480,5053490000,351408470000
"33",2022-12-16,3804.02,-31.6799999999998,-0.00825924863779749,3831,3783.94,3837.77,728652700,15022520000,346354980000
"34",2022-12-15,3835.7,-139.56,-0.0351071376463427,3950.02,3831.21,3950.02,491032660,9705900000,361377500000
"35",2022-12-14,3975.26,-11.5699999999997,-0.00290205501614057,3980.71,3955.15,3980.71,267169280,6731770000,371083400000
"36",2022-12-13,3986.83,65.0099999999998,0.0165764874471546,3926.36,3923.93,4035.15,336502520,7900920000,377815170000
"37",2022-12-12,3921.82,-20.7999999999997,-0.00527567962420921,3931.59,3911.67,3936.11,209491780,5313870000,369914250000
"38",2022-12-09,3942.62,21.3499999999999,0.00544466461121012,3926.59,3905.94,3946.5,263530970,5684740000,375228120000
"39",2022-12-08,3921.27,0.369999999999891,9.4366089418218e-05,3926.17,3903.93,3931.08,199825770,5263960000,369543380000
"40",2022-12-07,3920.9,-18.29,-0.00464308652286383,3929.71,3911.46,3944.03,256305170,6370450000,364279420000
"41",2022-12-06,3939.19,-17.3400000000001,-0.00438262821209498,3953.5,3924.65,3963.51,269616950,5686660000,370649870000
"42",2022-12-05,3956.53,-21.3699999999999,-0.00537218130169182,3973.45,3950.31,3977.73,203181840,4962890000,376336530000
"43",2022-12-02,3977.9,-6.59999999999991,-0.00165641862216085,3974.16,3940.52,3996.57,287949270,6638520000,381299420000
"44",2022-12-01,3984.5,19.7800000000002,0.00498900300651754,3970.68,3968.89,4004.19,358445090,6723920000,387937940000
"45",2022-11-30,3964.72,30.2799999999997,0.00769613973017755,3945.71,3943.46,3972.69,549278770,12850930000,381214020000
"46",2022-11-29,3934.44,-1.07000000000016,-0.000271883440773918,3941.55,3924.56,3953.98,264857760,5907730000,368363090000
"47",2022-11-28,3935.51,-26.8999999999996,-0.00678879772663597,3952.71,3925.13,3957.56,260303430,5944650000,374270820000
"48",2022-11-25,3962.41,0.420000000000073,0.000106007334697986,3962.26,3951.64,3975.17,225326010,4872310000,380215470000
"49",2022-11-24,3961.99,15.5499999999997,0.00394026008250467,3948.78,3947.16,3976.43,212854520,4330680000,375343160000
"50",2022-11-23,3946.44,16.54,0.0042087584925825,3938.57,3925.37,3950.14,280501560,5460740000,371012480000
"51",2022-11-22,3929.9,20.6199999999999,0.00527462857610606,3903.8,3901.14,3935.55,321603810,5804020000,365551740000
"52",2022-11-21,3909.28,-15.5599999999999,-0.00396449282008947,3915.66,3896.71,3921.95,323341340,5514230000,359747720000
"53",2022-11-18,3924.84,46.4200000000001,0.0119687914150608,3889.56,3889.56,3940.94,434316010,9494590000,365261950000
"54",2022-11-17,3878.42,-4.36000000000013,-0.00112290678328417,3890.17,3842.87,3910.17,324445360,6238860000,355767360000
"55",2022-11-16,3882.78,-32.3099999999999,-0.00825268384634835,3911.68,3873.34,3918.97,297880050,7494340000,362006220000
"56",2022-11-15,3915.09,27.5799999999999,0.00709451551250027,3896.29,3889.25,3932.23,310883550,7258890000,369500560000
"57",2022-11-14,3887.51,19.0100000000002,0.0049140493731421,3873.51,3872.21,3915.67,273769830,6852800000,362241670000
"58",2022-11-11,3868.5,21.9400000000001,0.00570379767896512,3873.07,3859.5,3890.25,382687910,9396400000,355388870000
"59",2022-11-10,3846.56,118.53,0.0317942720418022,3717.69,3706.79,3849.14,448335800,10429480000,345992470000
"60",2022-11-09,3728.03,-11.25,-0.00300860058620911,3735.47,3708.51,3739.65,307695480,5928040000,335562990000
"61",2022-11-08,3739.28,30.48,0.00821829163071614,3704.2,3695.17,3741.29,274019400,5704350000,341491030000
"62",2022-11-07,3708.8,20.4700000000003,0.00554993723446662,3682.46,3667.98,3719.21,344480640,5986810000,335786680000
"63",2022-11-04,3688.33,95.1500000000001,0.026480721811877,3601.92,3601.92,3711.21,500176160,8599080000,329799870000
