"","Exchange Date","Close","Net","%Chg","Open","Low","High","Volume","Turnover - EUR","Flow"
"1",2023-01-31,4163.45,369.83,0.0974873603576531,3802.51,3802.51,4197.47,6634346080,138994370000,1001138195583
"2",2022-12-31,3793.62,-171.1,-0.0431556326802397,3970.68,3767.26,4035.15,5585020900,121650750000,862143825583
"3",2022-11-30,3964.72,347.18,0.0959712954106934,3628.6,3563.42,3976.43,7189487140,150860740000,983794575583
"4",2022-10-31,3617.54,299.34,0.0902115604846001,3309.02,3256.32,3631.23,6464230890,123526500000,832933835583
"5",2022-09-30,3318.2,-199.05,-0.0565925083516953,3514.49,3249.57,3683.02,7679762240,140642120000,709407335583
"6",2022-08-31,3517.25,-190.85,-0.0514684070008899,3705.76,3517.25,3819.12,6381118990,125749880000,850049455583
"7",2022-07-31,3708.1,253.24,0.0732996416642063,3450.62,3357.06,3720.16,7654129970,131879670000,975799335583
"8",2022-06-30,3454.86,-334.35,-0.0882373898517105,3800.1,3411.83,3857.27,7673110990,152907290000,843919665583
"9",2022-05-31,3789.21,-13.6500000000001,-0.00358940376453514,3772.91,3526.86,3852.68,7388838310,165498470000,996826955583
"10",2022-04-30,3802.86,-99.6599999999999,-0.0255373451000891,3906.57,3675.54,3969.04,6402203280,144153110000,1162325425583
"11",2022-03-31,3902.52,-21.71,-0.00553229550765374,3920.03,3387,4024.89,11845195300,252483580000,1306478535583
"12",2022-02-28,3924.23,-250.37,-0.0599746083457098,4184.63,3765.42,4259.28,9019321310,197662940000,1558962115583
"13",2022-01-31,4174.6,-123.809999999999,-0.0288036739166342,4303.94,4035.28,4395.78,7098300150,177704940000,1756625055583
"14",2021-12-31,4298.41,235.35,0.0579243230471615,4080.85,4046.69,4319.69,6239949090,155559580000,1934329995583
"15",2021-11-30,4063.06,-187.5,-0.0441118346759016,4256.93,4027.43,4415.23,7200636120,179260010000,1778770415583
"16",2021-10-31,4250.56,202.48,0.0500187743325232,4037.16,3965.87,4250.68,6788548820,149340830000,1958030425583
"17",2021-09-30,4048.08,-148.33,-0.0353468798330001,4207,4011.49,4252.78,6949523560,170240780000,1808689595583
"18",2021-08-31,4196.41,107.11,0.0261927469249015,4095.5,4082.07,4242.26,4740256120,132180700000,1978930375583
"19",2021-07-31,4089.3,25,0.00615112073419777,4068.2,3904.78,4128.81,5361972410,137518040000,1846749675583
"20",2021-06-30,4064.3,24.8400000000001,0.00614933679254161,4044.07,4044.07,4165.59,5548757830,138187050000,1709231635583
"21",2021-05-31,4039.46,64.7200000000003,0.0162828260464836,3979.5,3857.76,4075.87,6037180080,145638820000,1571044585583
"22",2021-04-30,3974.74,55.5299999999997,0.0141686717476225,3922.36,3922.36,4040.88,5208759820,132915430000,1425405765583
"23",2021-03-31,3919.21,282.77,0.0777601170375422,3658.12,3656.21,3929.49,8247344090,185623090000,1292490335583
"24",2021-02-28,3636.44,155,0.0445218070683395,3492.86,3492.86,3742.53,7680620680,140991330000,1106867245583
"25",2021-01-31,3481.44,-71.1999999999998,-0.0200414339758602,3565.68,3473.76,3657.83,7374166850,147958770000,965875915583
"26",2020-12-31,3552.64,60.0999999999999,0.0172081064211147,3499.28,3401.14,3603.17,7213020820,138176400000,1113834685583
"27",2020-11-30,3492.54,534.33,0.180626121877757,2969.37,2953.92,3538.52,10417733720,191823090000,975658285583
"28",2020-10-31,2958.21,-235.4,-0.0737096890352924,3207.17,2920.87,3305.77,7398325240,137900320000,783835195583
"29",2020-09-30,3193.61,-78.9000000000001,-0.0241099339650605,3279.11,3097.67,3396.02,9420695780,145924520000,921735515583
"30",2020-08-31,3272.51,98.1900000000001,0.0309326091887397,3177.76,3173.98,3377.44,7363164160,108838150000,1067660035583
"31",2020-07-31,3174.32,-59.75,-0.0184751721514995,3239.86,3174.32,3451.16,8915958370,144570870000,958821885583
"32",2020-06-30,3234.07,183.87,0.0602812930299654,3063,3054.11,3394.9,12976840640,209696170000,1103392755583
