,USD,USD,EUR,USD,EUR,USD,USD,,
Date,MSCI World,MSCI EM,ICE BofA Euro Corp,ICE BofA US Corp,ICE BofA Euro Gov,ICE BofA Trsry,Bloomberg Commodity,EUR,1M Euribor
28/02/2023,12664.791,2542.233,276.189,3053.509,664.49,1600.104,108.0394,1.0712,2.374
31/01/2023,12532.085,2584.23,276.945,3104.173,668.974,1625.561,111.8001,1.0862,2.177
31/12/2022,11700.992,2394.898,271.49,2987.967,655.456,1584.457,112.8052,1.0702,1.884
30/11/2022,12215.106,2427.707,275.948,2994.31,684.336,1592.807,116.0528,1.0405,1.512
31/10/2022,11415.734,2113.859,268.46,2853.965,668.417,1549.233,113.3532,0.9883,1.253
30/09/2022,10648.163,2181.297,267.952,2886.143,667.03,1573.176,111.4887,0.9799,0.679
31/08/2022,11734.161,2469.584,277.592,3047.929,694.012,1634.487,121.6412,1.0057,0.23
31/07/2022,12241.14,2458.399,289.889,3130.929,731.96,1678.244,121.827,1.0218,-0.071
30/06/2022,11337.724,2462.385,277.035,3041.568,703.285,1651.035,117.0482,1.0482,-0.508
31/05/2022,12408.09,2635.333,286.861,3114.774,716.348,1663.075,131.343,1.0733,-0.546
30/04/2022,12389.189,2623.127,290.59,3097.87,729.917,1661.957,129.4827,1.0541,-0.538
31/03/2022,13505.741,2777.192,298.878,3260.28,758.695,1717.129,124.4109,1.1065,-0.532
28/02/2022,13137.034,2840.359,303.093,3348.654,777.071,1770.336,114.5522,1.1219,-0.551
31/01/2022,13473.435,2927.511,311.328,3423.313,792.412,1783.88,107.8627,1.1233,-0.567
31/12/2021,14223.137,2983.766,315.478,3533.734,801.45,1818.179,99.1694,1.1368,-0.583
30/11/2021,13636.233,2927.423,315.921,3539.802,814.208,1828.603,95.7976,1.1336,-0.57
31/10/2021,13936.992,3051.526,315.364,3536.237,800.417,1812.298,103.3578,1.1561,-0.557
30/09/2021,13186.527,3021.283,317.6,3527.753,805.239,1811.899,100.7581,1.1581,-0.563
31/08/2021,13751.461,3145.169,319.723,3565.437,815.059,1833.933,95.9859,1.1807,-0.554
31/07/2021,13413.45,3064.004,321.018,3572.435,819.842,1836.715,96.2754,1.187,-0.556
30/06/2021,13174.25099,3283.023,317.359,3529.816,805.079,1812.521,94.5412,1.1855,-0.569
31/05/2021,12976.578,3276.27,316.009,3472.017,801.411,1796.909,92.8252,1.2225,-0.563
30/04/2021,12784.973,3201.29,316.469,3447.811,801.719,1791.576,90.361,1.2018,-0.556
31/03/2021,12211.116,3123.11,316.467,3407.268,810.511,1776.644,83.4445,1.1728,-0.556
28/02/2021,11811.31,3170.208,315.821,3453.896,809.134,1799.23,85.2778,1.2074,-0.547
31/01/2021,11512.425,3145.973,318.316,3523.781,824.766,1841.33,80.0981,1.2136,-0.571
31/12/2020,11625.199,3051.617,318.733,3567.627,829.712,1862.427,78.0543,1.2213,-0.554
30/11/2020,11148.6,2841.391,318.258,3550.186,828.746,1867.707,74.3612,1.1928,-0.551
31/10/2020,9881.076,2600.7,315.046,3457.925,827.521,1860.524,71.8436,1.1647,-0.548
30/09/2020,10191.079,2547.815,312.632,3463.945,819.681,1879.597,70.8516,1.1718,-0.529
31/08/2020,10550.972,2588.733,311.523,3473.12,808.243,1876.126,73.315,1.1936,-0.522
31/07/2020,9886.493,2532.135,311.134,3513.671,814.598,1898.944,68.6767,1.1774,-0.51
30/06/2020,9432.107,2322.513,306.558,3406.346,805.974,1876.212,64.9762,1.1231,-0.51
31/05/2020,9185.249,2162.436,302.601,3338.723,798.048,1873.963,63.5353,1.1098,-0.482
30/04/2020,8756.465,2145.501,302.087,3281.685,795.631,1879.967,60.8983,1.0955,-0.46
31/03/2020,7890.181,1965.162,291.723,3117.324,792.167,1872.378,61.8577,1.1029,-0.423
29/02/2020,9086.788,2322.259,312.913,3368.462,813.419,1813.083,70.9799,1.1025,-0.488
31/01/2020,9921.109,2451.389,314.048,3326.213,809.903,1765.039,74.8374,1.1093,-0.454
31/12/2019,9979.034,2571.142,310.517,3249.023,790.618,1720.909,80.8871,1.121,-0.438
30/11/2019,9685.175,2391.173,310.631,3238.82,797.789,1731.469,77.1108,1.1015,-0.437
31/10/2019,9418.381,2394.31,311.386,3231.817,805.36,1736.922,79.2367,1.115,-0.437
30/09/2019,9182.168,2297.199,311.962,3212.171,814.208,1736.389,77.7797,1.0898,-0.457
31/08/2019,8986.644,2253.439,314.327,3232.08,817.526,1752.107,77.0044,1.0989,-0.427
31/07/2019,9169.816,2368.229,312.164,3136.922,797.778,1692.09,78.9631,1.1074,-0.392
30/06/2019,9122.09,2395.537,307.871,3115.836,784.53,1693.65,79.653,1.1368,-0.388
31/05/2019,8554.772,2253.09,303.217,3046.434,766.946,1678.299,77.7043,1.1167,-0.378
30/04/2019,9069.951,2428.542,303.486,3003.346,758.797,1638.275,80.5738,1.1215,-0.367
31/03/2019,8754.489,2378.031,301.411,2986.389,758.84,1643.37,81.0872,1.1217,-0.367
28/02/2019,8635.203,2357.784,297.331,2914.16,745.279,1611.569,81.3904,1.137,-0.368
31/01/2019,8379.029,2352.28,295.326,2903.719,748.132,1616.054,80.7252,1.1444,-0.368
31/12/2018,7771.71,2162.749,292.246,2844.184,740.127,1608.543,76.7154,1.1469,-0.363
30/11/2018,8407.845,2220.226,291.672,2802.121,733.24,1573.614,82.5607,1.1315,-0.368
31/10/2018,8309.11,2132.205,293.516,2807.476,728.947,1559.573,83.1903,1.131,-0.369
30/09/2018,8965.288,2335.379,293.947,2845.304,729.206,1567.627,85.201,1.1608,-0.371
31/08/2018,8911.933,2347.057,294.796,2855.217,730.168,1583.322,83.736,1.1599,-0.369
31/07/2018,8798.941,2411.556,294.712,2839.771,734.443,1571.052,85.3947,1.1691,-0.369
30/06/2018,8530.354,2357.686,293.912,2818.577,736.713,1578.104,87.4095,1.1683,-0.37
31/05/2018,8531.327,2458.184,293.99,2834.179,731.14,1577.751,90.7159,1.169,-0.369
30/04/2018,8470.213,2547.855,294.693,2821.48,740.528,1563.551,89.593,1.2077,-0.371
31/03/2018,8368.879,2558.701,294.585,2845.715,743.277,1576.526,87.4729,1.2321,-0.372
28/02/2018,8549.699,2606.495,294.81,2839.609,731.564,1561.104,88.1409,1.2193,-0.37
31/01/2018,8915.278,2732.109,294.829,2882.748,730.25,1573.497,89.8001,1.242,-0.369
31/12/2017,8466.345,2521.743,295.576,2909.334,732.719,1595.576,88.1674,1.1996,-0.368
30/11/2017,8350.802,2433.136,296.472,2885.035,739.077,1590.269,85.7033,1.1902,-0.371
31/10/2017,8169.601,2428.129,296.871,2889.091,736.645,1592.2,86.1882,1.1644,-0.372
30/09/2017,8016.091,2345.749,293.772,2877.175,728.773,1593.844,84.4599,1.1812,-0.372
31/08/2017,7837.108,2354.577,294.378,2884.06,732.173,1608.093,84.6565,1.1908,-0.373
